source,target
6383305880,6202703407
6352080616,6202703407
6201263154,6202703407
6300290196,6202703407
6184694204,6202703407
6198944006,6202703407
6362749981,6202703407
6297188971,6202703407
6376783657,6202703407
6374878853,6202703407
6210368452,6202703407
6202703407,6202703407
3122509803,1420702335
6000160955,6000160955
6301015584,6301406034
6077533501,1420702335
1420702335,6164769657
1420702335,6084099967
1420702335,6074854019
1420702335,6065292158
5693470962,3815969784
5693470962,3695013654
3738195311,6304170156
3738195311,7014759277
6867572796,3738195311
6778680349,3738195311
3738195311,6778680349
7008192922,3738195311
3738195311,7008192922
6803241593,6891547922
3738195311,6891547922
6803241593,1080625273
3738195311,1080625273
7202197631,7202197631
6578494123,6578494123
6652208282,6652208282
6624781865,6152136037
6286919127,6286919127
1106313480,6624781865
6631680530,6624781865
6624781865,6631680530
6921890682,6921890682
6366749514,6366749514
6571763457,6624781865
2321278505,6624781865
3222035290,1211017444
3222035290,6320762378
6628864589,6628864589
6872149670,3695013654
6021128411,3173919185
3173919185,6021128411
6019654965,3173919185
3173919185,6019654965
3173919185,1400959263
3173919185,3793297380
3793297380,3793297380
3173919185,5770875341
3173919185,5687665808
3173919185,2233040210
3173919185,6015246682
3173919185,6028617689
3173919185,5406427864
5406427864,5406427864
3173919185,5778538038
5778538038,5778538038
5802535703,6019376486
6019861664,6019861664
3173919185,6607045450
3563220327,3563220327
3173919185,5966685821
5533706452,3173919185
3173919185,5533706452
5057606125,5057606125
3969327941,2690712983
6385538222,6385538222
6605068102,6605068102
6606033711,6606033711
5286794991,5286794991
6221438006,6611022249
6611022249,6611022249
6221438006,6610249619
6221438006,6359550371
6221438006,6383339438
6221438006,6862727394
6221438006,6380790055
6358919454,6221438006
6221438006,6358919454
6221438006,6383338737
5996062670,3982138436
3982138436,3982138436
5996062670,6380065127
6380065127,6380065127
5996062670,5752342758
5752342758,5752342758
5996062670,6921985914
6923190109,6921985914
6921985914,6921985914
5996062670,6005140573
5996062670,6035615129
5975264085,5975264085
5996062670,6032318656
6032318656,6032318656
5996062670,5943407581
5996062670,5996140974
5996062670,6215058114
5996062670,2158818811
5764548832,5764548832
5996062670,2885692517
5996062670,5944095295
5209478895,5941368257
5993794314,5993794314
5996062670,6868647629
6401080494,6023686071
5996062670,6380937409
5996062670,6851072702
5996062670,2102999433
5996062670,6362928002
5996062670,6300715379
5996062670,6359725042
6203240098,6203240098
6317403056,6283629892
6295111729,6283629892
5974793369,6283629892
